time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.1467,-0.0084,0.5771,-0.9589,0.3972,-0.0228,0.5780,-0.9621,0.3677,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,0.0100
0.1533,0.0325,0.5596,-0.9515,0.4014,0.0207,0.5526,-0.9556,0.3565,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0100,-2.5000,2.5000,2.5000,0.0100
0.1600,0.0471,0.5251,-0.9426,0.3747,0.0436,0.5197,-0.9491,0.3883,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.1228,2.5000,2.5000,0.0100,-2.5000,2.5000,0.5612,0.0100
0.1667,0.0203,0.5326,-0.9387,0.3795,0.0316,0.5263,-0.9694,0.4029,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-0.1228,2.5000,2.5000,0.0100,-2.5000,2.5000,0.5612,0.0100
0.1733,-0.0263,0.5848,-0.9379,0.3647,-0.0114,0.5836,-1.0209,0.4978,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,-0.0041
0.1800,-0.0436,0.6514,-0.9360,0.3876,-0.0388,0.6512,-1.0541,0.4917,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,-2.5000,2.5000,0.0100,2.5000,-2.5000,2.5000,0.0100
0.1867,-0.0007,0.6760,-0.9292,0.3377,-0.0080,0.6660,-1.0542,0.5259,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,-2.5000,-2.5000,2.5000,0.0044
0.1933,0.0570,0.6600,-0.9198,0.2846,0.0381,0.6382,-1.0373,0.2744,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0100,-2.5000,-2.5000,2.5000,0.0100
0.2000,0.0582,0.6040,-0.9093,0.2213,0.0286,0.5708,-1.0160,0.4061,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,-1.4894,0.0100,-0.4907,2.5000,2.5000,0.0018
0.2067,0.0217,0.5557,-0.9634,0.3170,-0.0020,0.5157,-1.0102,0.5299,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,-1.4894,-0.0031,-0.4907,2.5000,2.5000,0.0026
